backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,gate_decision_steps,gate_outcome_divergence_steps__0.0000,gate_outcome_divergence_steps__0.0200,gate_outcome_divergence_steps__0.0500,gate_outcome_divergence_steps__0.1000,gate_outcome_divergence_steps__0.2000,gate_outcome_divergence_steps__0.3000,gate_outcome_divergence_steps__0.5000,gate_outcome_divergence_steps__1.0000,gate_skip_steps__0.0000,gate_skip_steps__0.0200,gate_skip_steps__0.0500,gate_skip_steps__0.1000,gate_skip_steps__0.2000,gate_skip_steps__0.3000,gate_skip_steps__0.5000,gate_skip_steps__1.0000,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
0.0,0.0,0.0,0.0,6.310889959335327,1,,,2.0,4,1.2359375,1.64241845,1.67855009,2.471875,2,1,,0,,1.020375,1100000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,10.18383257964045,0.19101154804229736,0.0,1.0,3010,4.0,,2.0,heldout_medium,2,0.0,0.0,0.5,11.037417364120483,42,2,1.2454143363902581
0.0,0.0,0.0,0.0,5.020563960075378,1,,,2.0,4,0.6780415,0.6932663499999999,0.6946196699999999,1.356083,2,1,,0,,0.828,1100001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.11677336692810059,0.0,1.0,3010,3.0,,2.0,heldout_medium,2,0.0,0.0,0.5,10.797459077835082,42,2,0.9184095742707834
0.0,0.0,0.0,0.0,7.833065092563629,1,,,4.0,7,0.752125,0.8949622,0.90765884,2.32925,3,1,,0,,1.202917,1100002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,4,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.0912407636642456,0.0,0.75,4515,3.5,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.684932708740234,42,3,1.6116792519910101
0.0,0.0,0.0,0.0,5.282225847244263,1,,,2.0,4,0.7965629999999999,0.8776566,0.8848649199999999,1.5931259999999998,2,1,,0,,0.457125,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.2020200490951538,0.0,1.0,3010,3.375,,2.0,heldout_medium,2,0.0,0.0,0.5,10.651459741592408,42,2,0.9098582117970189
0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,0.7740415,0.81574165,0.81944833,1.548083,2,1,,0,,0.5462910000000001,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,8.151648050685244,0.15219110250473022,0.0,1.0,3010,2.125,,2.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,42,2,1.3128961105718773
0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,0.709459,0.7257705999999999,0.7272205199999999,2.082417,3,1,,0,,0.833292,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.0406796932220459,0.0,1.0,4515,5.0,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,42,3,2.369984529168935
0.0,0.0,0.0,0.0,10.122877836227417,1,,,4.0,7,0.698125,0.74965,0.7542300000000001,2.105667,3,1,,0,,0.961209,1100006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3,4,1,0,6003,0,1.0,0.030109979212284088,SwitchGLOBE Exact,12.0,0.00989001989364624,0.0,0.75,4515,5.375,,2.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.575439500808715,42,3,2.167385196916104
0.0,0.0,0.0,0.0,5.743571519851685,1,,,2.0,4,0.7001459999999999,0.7381899,0.74157158,1.4002919999999999,2,1,,0,,0.561292,1100007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,10.901305315310605,0.13309800624847412,0.0,1.0,3010,3.125,,2.0,heldout_medium,2,0.0,0.0,0.5,10.939948749542236,42,2,1.0752696953619996
0.0,0.0,0.0,0.0,6.424596548080444,1,,,2.0,4,0.6616040000000001,0.6765854,0.6779170800000001,1.3232080000000002,2,1,,0,,0.617667,1100008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.10769736766815186,0.0,1.0,3010,2.875,,2.0,heldout_medium,2,0.0,0.0,0.5,11.047343301773072,42,2,1.3057808199219956
0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,0.7357914999999999,0.78521635,0.7896096699999999,1.4715829999999999,2,1,,0,,0.5121249999999999,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.28839194774627686,0.0,1.0,3010,2.25,,2.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,42,2,0.6050165978419892
