-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::all         4.69%      14.090ms         9.62%      28.884ms      27.509us       3.234ms         8.49%       4.271ms       4.068us           0 B           0 B     525.00 KB     525.00 KB          1050  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.234ms         8.49%       3.234ms       5.133us           0 B           0 B           0 B           0 B           630  
                                              aten::mul         3.36%      10.095ms         5.65%      16.957ms      15.701us       3.139ms         8.24%       3.139ms       2.906us           0 B           0 B     765.00 KB     765.00 KB          1080  
                                            aten::copy_         2.82%       8.481ms         8.61%      25.872ms      20.534us       2.977ms         7.82%       2.979ms       2.364us           0 B           0 B           0 B           0 B          1260  
                              aten::_local_scalar_dense         2.41%       7.249ms         8.88%      26.666ms      23.392us       2.484ms         6.52%       2.484ms       2.179us           0 B           0 B           0 B           0 B          1140  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       2.484ms         6.52%       2.484ms       2.179us           0 B           0 B           0 B           0 B          1140  
                                              aten::any         2.66%       7.987ms         4.08%      12.269ms      27.264us       2.446ms         6.42%       2.446ms       5.436us           0 B           0 B     225.00 KB     225.00 KB           450  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.446ms         6.42%       2.446ms       5.436us           0 B           0 B           0 B           0 B           450  
                                              aten::sub         2.65%       7.951ms         4.43%      13.310ms      16.432us       2.117ms         5.56%       2.117ms       2.613us           0 B           0 B     405.00 KB     405.00 KB           810  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.062ms         5.41%       2.062ms       2.454us           0 B           0 B           0 B           0 B           840  
