-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::all         4.53%      12.871ms         9.07%      25.771ms      26.845us       3.075ms         8.83%       3.938ms       4.102us           0 B           0 B     480.00 KB     480.00 KB           960  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.075ms         8.83%       3.075ms       5.125us           0 B           0 B           0 B           0 B           600  
                                              aten::mul         3.32%       9.426ms         5.63%      15.976ms      15.663us       2.970ms         8.52%       2.970ms       2.911us           0 B           0 B     735.00 KB     735.00 KB          1020  
                                            aten::copy_         2.78%       7.885ms         8.51%      24.167ms      20.655us       2.722ms         7.81%       2.724ms       2.328us           0 B           0 B           0 B           0 B          1170  
                              aten::_local_scalar_dense         2.43%       6.892ms         8.87%      25.193ms      23.993us       2.302ms         6.61%       2.302ms       2.192us           0 B           0 B           0 B           0 B          1050  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       2.302ms         6.61%       2.302ms       2.192us           0 B           0 B           0 B           0 B          1050  
                                              aten::any         2.48%       7.052ms         3.81%      10.830ms      27.768us       2.115ms         6.07%       2.115ms       5.423us           0 B           0 B     195.00 KB     195.00 KB           390  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.115ms         6.07%       2.115ms       5.423us           0 B           0 B           0 B           0 B           390  
                                              aten::sub         2.47%       7.028ms         4.19%      11.895ms      16.521us       1.900ms         5.45%       1.900ms       2.639us           0 B           0 B     360.00 KB     360.00 KB           720  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.803ms         5.17%       1.803ms       2.404us           0 B           0 B           0 B           0 B           750  
