operator,count,self_cpu_time_total_us,self_cuda_time_total_us,cpu_memory_usage_bytes,cuda_memory_usage_bytes,input_shapes
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>)",210,0.0,1035.396999999941,0,0,[]
aten::cat,210,3107.3909999998946,870.4059999998772,0,430080,"[[], []]"
ampere_sgemm_32x32_sliced1x4_tn,90,0.0,703.7079999999855,0,0,[]
aten::_local_scalar_dense,300,1951.7650000001586,661.9290000000108,0,0,[[]]
Memcpy DtoH (Device -> Pinned),300,0.0,661.9290000000108,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul>)",210,0.0,575.8770000000054,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul>)",210,0.0,543.8349999999987,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul>)",210,0.0,542.0210000001355,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>)",210,0.0,510.1440000000132,0,0,[]
Memcpy DtoD (Device -> Device),210,0.0,503.23999999992293,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",180,0.0,481.4069999999879,0,0,[]
aten::all,90,1360.0720000000038,474.17799999998624,0,46080,"[[1, 33]]"
aten::addmm,60,2002.6100000000138,383.42600000006723,0,30720,"[[1], [1, 32], [32, 1], [], []]"
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",90,0.0,343.612999999988,0,0,[]
aten::any,60,1153.7780000000494,332.5169999999789,0,30720,"[[1, 33], [], []]"
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>)",60,0.0,332.5169999999789,0,0,[]
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,0.0,323.61899999993784,0,0,[]
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",60,0.0,304.6429999999791,0,0,[]
Memcpy HtoD (Pageable -> Device),208,0.0,297.11799999997595,0,0,[]
aten::all,60,974.8310000001177,290.33600000000365,0,30720,"[[1, 6]]"
aten::sum,30,577.5430000000079,270.2760000000617,0,15360,"[[1, 32, 32], [], [], []]"
"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",30,0.0,270.2760000000617,0,0,[]
aten::addmm,30,1032.5270000000587,252.70199999998067,0,122880,"[[32], [32, 64], [64, 32], [], []]"
aten::mul,90,820.3380000000366,250.49500000000853,0,46080,"[[1, 33], [1, 33]]"
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_alignedK_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,0.0,240.3229999999562,0,0,[]
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, false, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",60,0.0,239.55299999998533,0,0,[]
aten::copy_,90,597.9010000000048,237.60299999996278,0,0,"[[], [], []]"
aten::ne,90,1443.3440000000492,236.18900000002895,0,46080,"[[1, 33], []]"
aten::eq,90,788.565000000016,235.58400000007487,0,46080,"[[1, 33], [1, 33]]"
aten::clamp_min,90,1168.2580000000567,231.96700000000374,0,368640,"[[1, 32, 32], []]"
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16, 4>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,0.0,231.23199999998315,0,0,[]
aten::addmm,30,1112.8070000000153,230.52700000000368,0,122880,"[[32], [32, 27], [27, 32], [], []]"
aten::addmm,60,1934.9029999999902,227.73999999998614,0,30720,"[[32], [1, 44], [44, 32], [], []]"
aten::addmm,30,797.3899999999267,220.47900000000118,0,122880,"[[32], [32, 32], [32, 32], [], []]"
aten::abs,90,853.2289999999148,220.22500000008222,0,0,"[[1, 33], [0]]"
aten::addmm,30,1143.3089999999816,212.38099999999804,0,15360,"[[1], [32, 32], [32, 1], [], []]"
aten::argmax,30,594.6059999999961,202.14100000001508,0,15360,"[[33], [], []]"
