-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm         9.27%       8.024ms        13.50%      11.688ms      48.701us       1.527ms        16.04%       1.527ms       6.364us           0 B           0 B     435.00 KB     435.00 KB           240  
                                              aten::all         4.42%       3.827ms         7.98%       6.909ms      25.590us       1.035ms        10.88%       1.178ms       4.364us           0 B           0 B     135.00 KB     135.00 KB           270  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.035ms        10.88%       1.035ms       4.930us           0 B           0 B           0 B           0 B           210  
                                            aten::copy_         3.67%       3.178ms        11.67%      10.103ms      22.451us     925.961us         9.73%     925.961us       2.058us           0 B           0 B           0 B           0 B           450  
                                              aten::cat         3.59%       3.107ms         6.24%       5.398ms      25.706us     870.406us         9.14%     870.406us       4.145us           0 B           0 B     420.00 KB     420.00 KB           210  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     703.708us         7.39%     703.708us       7.819us           0 B           0 B           0 B           0 B            90  
                                              aten::mul         2.66%       2.304ms         4.36%       3.774ms      15.726us     682.052us         7.17%     682.052us       2.842us           0 B           0 B     225.00 KB     225.00 KB           240  
                              aten::_local_scalar_dense         2.25%       1.952ms         8.33%       7.209ms      24.029us     661.929us         6.95%     661.929us       2.206us           0 B           0 B           0 B           0 B           300  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     661.929us         6.95%     661.929us       2.206us           0 B           0 B           0 B           0 B           300  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     575.877us         6.05%     575.877us       2.742us           0 B           0 B           0 B           0 B           210  
