operator,count,self_cpu_time_total_us,self_cuda_time_total_us,cpu_memory_usage_bytes,cuda_memory_usage_bytes,input_shapes
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>)",210,0.0,1036.001000000072,0,0,[]
aten::cat,210,3012.160999999914,870.0839999999384,0,430080,"[[], []]"
aten::_local_scalar_dense,330,2150.109000000234,724.7350000001175,0,0,[[]]
Memcpy DtoH (Device -> Pinned),330,0.0,724.7350000001175,0,0,[]
ampere_sgemm_32x32_sliced1x4_tn,90,0.0,677.0219999999786,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul>)",210,0.0,575.579999999934,0,0,[]
Memcpy DtoD (Device -> Device),240,0.0,568.0030000000083,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul>)",210,0.0,544.3860000000102,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul>)",210,0.0,542.0090000000625,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>)",210,0.0,510.70800000000304,0,0,[]
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>)",90,0.0,499.0729999999671,0,0,[]
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",180,0.0,482.0830000000219,0,0,[]
aten::all,90,1353.56899999997,474.69000000003734,0,46080,"[[1, 33]]"
aten::addmm,60,1931.577000000003,379.9710000000705,0,30720,"[[1], [1, 32], [32, 1], [], []]"
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",90,0.0,342.7260000000115,0,0,[]
Memcpy HtoD (Pageable -> Device),238,0.0,337.7900000000029,0,0,[]
aten::any,60,1121.6939999998463,330.6239999999966,0,30720,"[[1, 33], [], []]"
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,0.0,322.97299999996767,0,0,[]
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",60,0.0,303.48899999995956,0,0,[]
aten::all,60,944.3560000000098,290.5260000000276,0,30720,"[[1, 6]]"
aten::copy_,120,789.7479999999864,277.81899999998404,0,0,"[[], [], []]"
aten::sum,30,525.4929999999531,270.04500000000917,0,15360,"[[1, 32, 32], [], [], []]"
"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",30,0.0,270.04500000000917,0,0,[]
aten::addmm,30,999.5960000000482,251.38999999998077,0,122880,"[[32], [32, 64], [64, 32], [], []]"
aten::mul,90,838.8190000001096,250.30499999998574,0,46080,"[[1, 33], [1, 33]]"
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_alignedK_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,0.0,240.2559999999421,0,0,[]
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, false, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",60,0.0,239.6500000000333,0,0,[]
aten::ne,90,1483.3510000000115,236.13299999990886,0,46080,"[[1, 33], []]"
aten::eq,90,779.766000000021,235.55500000004213,0,46080,"[[1, 33], [1, 33]]"
aten::clamp_min,90,1120.0799999999567,232.06599999995706,0,368640,"[[1, 32, 32], []]"
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16, 4>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,0.0,231.45700000003762,0,0,[]
aten::addmm,30,1074.0139999999365,227.23299999997516,0,122880,"[[32], [32, 27], [27, 32], [], []]"
aten::addmm,60,1925.3430000000021,226.85499999998228,0,30720,"[[32], [1, 44], [44, 32], [], []]"
aten::abs,90,845.9949999999726,219.51399999998966,0,0,"[[1, 33], [0]]"
aten::addmm,30,1155.1079999999429,212.1580000000622,0,15360,"[[1], [32, 32], [32, 1], [], []]"
aten::argmax,30,587.323999999925,201.79199999994307,0,15360,"[[33], [], []]"
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4>)",30,0.0,201.79199999994307,0,0,[]
aten::addmm,30,757.7700000000868,198.39900000002262,0,122880,"[[32], [32, 32], [32, 32], [], []]"
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",60,0.0,186.56000000006406,0,0,[]
aten::any,30,521.71400000003,168.4489999999705,0,15360,[[32]]
aten::clamp_min,60,749.4500000000007,167.93600000003426,0,30720,"[[1, 32], []]"
aten::masked_fill_,60,439.98400000004904,164.57600000004777,0,0,"[[1, 33], [1, 33], []]"
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul> >(int, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul>)",60,0.0,164.57600000004777,0,0,[]
aten::bitwise_not,60,570.8740000000234,163.81199999998034,0,30720,"[[1, 33]]"
"void at::native::vectorized_elementwise_kernel<4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase&)::{lambda(bool)#1}, std::array<char*, 2ul> >(int, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase&)::{lambda(bool)#1}, std::array<char*, 2ul>)",60,0.0,163.81199999998034,0,0,[]
aten::mul,60,515.6879999999069,163.58099999996057,0,30720,"[[1, 6], [1, 6]]"
aten::eq,60,511.5159999999985,154.1980000000392,0,30720,"[[1, 6], [1, 6]]"
aten::ne,60,983.816999999925,153.91900000005285,0,30720,"[[1, 6], []]"
aten::sum,30,432.3849999999825,152.41399999998157,0,15360,"[[1, 32, 1], [], [], []]"
aten::sum,30,565.4790000000557,151.074999999978,0,15360,"[[], []]"
aten::abs,60,588.7829999999774,144.79799999999182,0,0,"[[1, 6], [0]]"
aten::copy_,60,377.3309999999665,141.15099999996846,0,0,"[[1, 33], [1, 33], []]"
aten::all,30,438.08899999994446,136.92900000000236,0,15360,"[[1, 32, 2]]"
aten::all,30,423.34799999992174,133.85600000000477,0,15360,"[[1, 32, 7]]"
aten::copy_,60,387.6939999998058,131.77400000002854,0,0,"[[33], [33], []]"
aten::div,30,348.8429999999835,108.671000000003,0,15360,"[[1, 32], [1, 1]]"
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",30,0.0,108.671000000003,0,0,[]
aten::mul,30,385.7630000000536,106.11299999999255,0,122880,"[[1, 32, 32], [1, 32, 1]]"
