-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm         8.75%       7.843ms        12.84%      11.514ms      47.975us       1.496ms        15.23%       1.496ms       6.233us           0 B           0 B     435.00 KB     435.00 KB           240  
                                              aten::all         4.18%       3.745ms         7.49%       6.712ms      24.859us       1.036ms        10.55%       1.179ms       4.366us           0 B           0 B     135.00 KB     135.00 KB           270  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.036ms        10.55%       1.036ms       4.933us           0 B           0 B           0 B           0 B           210  
                                            aten::copy_         3.85%       3.451ms        13.10%      11.742ms      23.024us       1.034ms        10.53%       1.034ms       2.028us           0 B           0 B           0 B           0 B           510  
                                              aten::cat         3.36%       3.012ms         5.87%       5.261ms      25.052us     870.084us         8.86%     870.084us       4.143us           0 B           0 B     420.00 KB     420.00 KB           210  
                              aten::_local_scalar_dense         2.40%       2.150ms         8.82%       7.906ms      23.959us     724.735us         7.38%     724.735us       2.196us           0 B           0 B           0 B           0 B           330  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     724.735us         7.38%     724.735us       2.196us           0 B           0 B           0 B           0 B           330  
                                              aten::mul         2.50%       2.242ms         4.19%       3.756ms      15.652us     681.693us         6.94%     681.693us       2.840us           0 B           0 B     225.00 KB     225.00 KB           240  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     677.022us         6.89%     677.022us       7.522us           0 B           0 B           0 B           0 B            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     575.580us         5.86%     575.580us       2.741us           0 B           0 B           0 B           0 B           210  
