baseline,ci95_high,ci95_low,count,device,mean,mean_reduction_percent,metric,standard_deviation,variant
SwitchGLOBE Exact,-1.5155140148256592,-1.5565947451743407,5,cpu,-1.53605438,65.43437094718183,p95_ms_variant_minus_exact,0.016545263981446404,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,-1.5177121696367153,-1.551740390363285,5,cpu,-1.53472628,65.37846668158286,p95_ms_variant_minus_exact,0.013704865759722006,Historical KD+PPO Local
SwitchGLOBE Exact,0.10482240274661096,0.007446477253389094,5,cpu,0.05613444000000003,-2.390752415902025,p95_ms_variant_minus_exact,0.03921815359776636,Privileged Global Teacher
SwitchGLOBE Exact,-1.2172769195632969,-1.2529660604367028,5,cpu,-1.2351214899999998,52.61470103290115,p95_ms_variant_minus_exact,0.014373801342129351,Geo-Residual Student
SwitchGLOBE Exact,-1.7617274453878904,-1.800399974612109,5,cpu,-1.7810637099999997,75.87242563046084,p95_ms_variant_minus_exact,0.015575360988328643,Predictive Prior Only
SwitchGLOBE Exact,-0.4532115674581131,-0.7449552125418867,5,cpu,-0.5990833899999999,25.531972181938777,p95_ms_variant_minus_exact,0.11749975187516033,Predictive Student (No Switch)
SwitchGLOBE Exact,-1.4164543086485015,-1.4539069513514982,5,cpu,-1.4351806299999998,61.13733314061018,p95_ms_variant_minus_exact,0.015084051696850126,FastSwitchGLOBE
SwitchGLOBE Exact,-4.230467469923006,-4.277395970076993,5,cuda,-4.25393172,70.35679108767367,p95_ms_variant_minus_exact,0.018900453246834144,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,-4.230749077392428,-4.277395222607572,5,cuda,-4.25407215,70.35912993141395,p95_ms_variant_minus_exact,0.01878673479635978,Historical KD+PPO Local
SwitchGLOBE Exact,-2.8829761863097936,-2.9371083536902054,5,cuda,-2.9100422699999995,48.129680516378826,p95_ms_variant_minus_exact,0.021801730193083284,Privileged Global Teacher
SwitchGLOBE Exact,-3.5027561234697653,-3.545276016530234,5,cuda,-3.5240160699999996,58.2844745689099,p95_ms_variant_minus_exact,0.01712488675778619,Geo-Residual Student
SwitchGLOBE Exact,-4.627611596445049,-4.684823963554952,5,cuda,-4.65621778,77.01013133464399,p95_ms_variant_minus_exact,0.023042280621653196,Predictive Prior Only
SwitchGLOBE Exact,-3.246140719051629,-3.288706460948371,5,cuda,-3.26742359,54.040633254779706,p95_ms_variant_minus_exact,0.017143352376409654,Predictive Student (No Switch)
SwitchGLOBE Exact,-3.911331960973556,-3.9608514790264446,5,cuda,-3.9360917200000003,65.09986453734862,p95_ms_variant_minus_exact,0.019943985695116413,FastSwitchGLOBE
