block,component,device,latency_ms,order_position,training_seed,variant
0,end_to_end_policy,cpu,0.543451,0,42,Predictive Prior Only
0,end_to_end_policy,cpu,2.282554,1,42,SwitchGLOBE Exact
0,end_to_end_policy,cpu,1.573087,2,42,Predictive Student (No Switch)
0,end_to_end_policy,cpu,1.029602,3,42,Geo-Residual Student
0,end_to_end_policy,cpu,2.333125,4,42,Privileged Global Teacher
0,end_to_end_policy,cpu,0.863919,5,42,FastSwitchGLOBE
0,end_to_end_policy,cpu,0.774685,6,42,Historical PPO-only Local (No KD)
0,end_to_end_policy,cpu,0.762532,7,42,Historical KD+PPO Local
1,end_to_end_policy,cpu,1.069189,0,42,Geo-Residual Student
1,end_to_end_policy,cpu,2.294974,1,42,Privileged Global Teacher
1,end_to_end_policy,cpu,1.604797,2,42,Predictive Student (No Switch)
1,end_to_end_policy,cpu,2.252312,3,42,SwitchGLOBE Exact
1,end_to_end_policy,cpu,0.785342,4,42,Historical PPO-only Local (No KD)
1,end_to_end_policy,cpu,0.901295,5,42,FastSwitchGLOBE
1,end_to_end_policy,cpu,0.527211,6,42,Predictive Prior Only
1,end_to_end_policy,cpu,0.725737,7,42,Historical KD+PPO Local
2,end_to_end_policy,cpu,1.075453,0,42,Geo-Residual Student
2,end_to_end_policy,cpu,1.554225,1,42,Predictive Student (No Switch)
2,end_to_end_policy,cpu,2.265648,2,42,Privileged Global Teacher
2,end_to_end_policy,cpu,0.809945,3,42,Historical PPO-only Local (No KD)
2,end_to_end_policy,cpu,0.761489,4,42,Historical KD+PPO Local
2,end_to_end_policy,cpu,2.246054,5,42,SwitchGLOBE Exact
2,end_to_end_policy,cpu,0.475523,6,42,Predictive Prior Only
2,end_to_end_policy,cpu,0.87046,7,42,FastSwitchGLOBE
3,end_to_end_policy,cpu,0.790362,0,42,Historical KD+PPO Local
3,end_to_end_policy,cpu,2.283001,1,42,SwitchGLOBE Exact
3,end_to_end_policy,cpu,1.096619,2,42,Geo-Residual Student
3,end_to_end_policy,cpu,0.817524,3,42,FastSwitchGLOBE
3,end_to_end_policy,cpu,0.78445,4,42,Historical PPO-only Local (No KD)
3,end_to_end_policy,cpu,2.349782,5,42,Privileged Global Teacher
