action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[1,6,7,0,5,2]",0.0,0.0,0.0,0.0,12.356805324554443,0,,,-2.0,4,1.8697925,213.50556725,269.83836225000005,293.535001,6,1,,0,,6.255977,1100000,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,1,12006,0,1.0,0.0,Historical Untrained Local,12.0,0.1048591136932373,0.0,"[3,1,6,7,0,5,2]",3.0,7398,10.375,,0.0,heldout_medium,6,0.0,0.0,0.16666666666666666,10.573572099208832,2718,6,2.021368269701613
"[3,1,4,2,5,32]",0.0,0.0,0.0,0.0,16.099932193756104,0,,,,4,1.813856,1.8455024999999998,1.8483829,10.911004,,0,agent_drop,1,,6.31974,1100001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,0,12006,0,,0.0,Historical Untrained Local,12.0,0.008028745651245117,0.0,"[7,3,1,4,2,5]",,7398,6.125,,0.0,heldout_medium,6,0.0,0.0,0.0,-6.0388159275054925,2718,5,3.3206914362285644
"[2,6,4,0,32]",0.0,0.0,0.0,0.0,9.073746263980865,0,,,,7,1.80703,1.8328594,1.83792628,9.047545,,0,agent_drop,1,,4.568564,1100002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,10005,0,,0.0,Historical Untrained Local,12.0,0.07591640949249268,0.0,"[3,2,6,4,0]",,6165,5.0,,0.0,heldout_medium,5,0.0,0.0,0.0,-5.742978000640869,2718,4,1.7267005121683108
"[1,0,32]",0.0,0.0,0.0,0.0,5.263568997383118,0,,,,4,1.796208,1.8248982,1.8274484400000002,5.414572,,0,agent_drop,1,,1.77561,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,6003,0,,0.0,Historical Untrained Local,1.3473440279013251,0.02142024040222168,0.0,"[2,1,0]",,3699,3.0,,0.0,heldout_medium,3,0.0,0.0,0.0,-5.752027988433838,2718,2,1.071398061634441
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.8141675,1.82238765,1.82311833,3.628335,2,1,,0,,1.252624,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,2466,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,2718,2,1.3128961105718773
"[5,0,6]",0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,1.820944,1.8224398,1.82257276,5.434818,3,1,,0,,2.180275,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.0406796932220459,0.0,"[4,5,0,6]",1.0,3699,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,2718,3,2.369984529168935
"[1,3,6,0]",0.0,0.0,0.0,0.0,10.538064360618591,1,,,3.0,7,1.800206,1.8110027499999999,1.81111015,7.192661,4,1,,0,,3.155547,1100006,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,8004,0,1.0,0.0,Historical Untrained Local,7.639228220938141,0.06260961294174194,0.0,"[2,1,3,6,0]",1.0,4932,6.875,,0.0,heldout_medium,4,0.0,0.0,0.25,11.443555223941804,2718,4,2.090265490380017
"[7,3,0,4]",0.0,0.0,0.0,0.0,11.107387065887451,1,,,0.0,4,1.798279,1.8035111,1.80370382,7.1921040000000005,4,1,,0,,3.041575,1100007,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.15072709321975708,0.0,"[1,7,3,0,4]",2.0,4932,6.375,,0.0,heldout_medium,4,0.0,0.0,0.25,10.670287895202636,2718,4,2.011017444732964
"[0,5,6]",0.0,0.0,0.0,0.0,8.807802438735962,1,,,1.0,4,1.813636,1.827451,1.828679,5.415088,3,1,,0,,2.354089,1100008,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.10769736766815186,0.0,"[2,0,5,6]",1.5,3699,4.125,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.943708419799805,2718,3,1.685422520494928
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.8029095000000002,1.80564505,1.80588821,3.6058190000000003,2,1,,0,,1.123579,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,2466,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,2718,2,0.6050165978419892
