agent_drop_rate,backup_availability_rate,branch_disagreement_rate,connected_episodes,connected_pair_pdr,deadline_delivery_ratio,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,delivered,delivery_energy_efficiency_proxy,delivery_transmission_efficiency_proxy,endpoint_availability,energy_per_delivered_packet,energy_per_generated_packet,energy_per_on_time_delivery,episodes,false_switch_rate,fast_failover_miss_rate,fast_failover_success_rate,freshness_cache_capacity_eviction_rate,freshness_cache_hit_rate,freshness_cache_stale_eviction_rate,freshness_cache_state_eviction_rate,invalid_action_drop_rate,late_delivery_ratio_all,late_delivery_ratio_delivered,latency_aware_deadline_delivery_ratio,loop_drop_rate,mean_control_bytes,mean_control_messages,mean_deadline_slack_steps,mean_decision_latency_total_ms,mean_effective_end_to_end_delay_ms,mean_environment_step_time_total_ms,mean_episode_reward,mean_expected_transmissions_proxy,mean_local_observation_bytes,mean_minimum_link_lifetime_steps,mean_minimum_link_margin,mean_path_stretch,mean_per_hop_delay,mean_policy_input_bytes,mean_queue_delay_proxy,mean_safe_forward_candidates,mean_selected_danger,mean_success_delay,mean_switch_danger_reduction,mean_switch_steps,mean_transmission_energy_proxy,method,missed_risk_rate,overall_pdr,p95_success_delay,scenario,switch_activation_rate,time_limit_drop_rate,total_drop_rate,training_seed,ttl_drop_rate
0.33,0.0,0.0,200,0.67,0.51,1.86869175,2.493749605,2.8734248514999745,134,0.34385840596491263,0.1677096370463079,1.0,2.908173779244589,1.9484764320938746,3.8205420237134797,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.23880597014925373,0.0,0.0,0.0,0.0,0.373134328358209,11.25207984,0.0,3.83763025,5.314861725822091,3.995,8654.325,9.246417486504965,0.12026517793536186,1.8563432835820894,1.0,5332.725,5.95625,0.0,0.0,4.149253731343284,0.0,0.0,1.9484764320938746,Historical Untrained Local,0.0,0.67,6.349999999999994,heldout_medium,0.0,0.0,0.33,42,0.0
0.1,0.0,0.0,200,0.9,0.885,1.828513,2.286185594999999,2.3945233535999995,180,0.5998234067108331,0.34951456310679613,1.0,1.667157347999403,1.500441613199463,1.6954142522027829,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.016666666666666666,0.0,0.0,0.0,0.0,1.9333333333333333,4.968309895,0.0,2.2959432699999995,9.204509588435291,2.575,5352.675,9.53639063582774,0.12033134929835797,1.1393518518518517,1.0,3298.275,3.935625,0.0,0.0,2.588888888888889,0.0,0.0,1.500441613199463,Historical PPO-only Local (No KD),0.0,0.9,4.0,heldout_medium,0.0,0.0,0.1,42,0.0
0.03,0.0,0.0,200,0.97,0.97,1.83934975,2.3509663625,2.4355419591,194,0.7493528104685625,0.4118895966029724,1.0,1.3344848861976115,1.294450339611683,1.3344848861976115,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.195876288659794,4.539496145,0.0,2.086337765,10.399686746746301,2.355,4772.385,9.738026877692311,0.14072746381163598,1.0249140893470792,1.0,2940.705,3.51875,0.0,0.0,2.3711340206185567,0.0,0.0,1.2944503396116829,Historical KD-only Local,0.0,0.97,4.0,heldout_medium,0.0,0.0,0.03,42,0.0
0.03,0.0,0.0,200,0.97,0.97,1.83166625,1.8997924224999991,2.4030971029,194,0.7503105028025708,0.41630901287553645,1.0,1.3327815567885366,1.2927981100848804,1.3327815567885366,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2216494845360826,4.3588193749999995,0.0,2.01485368,10.402743346244097,2.33,4722.36,9.721683986687195,0.13697273179888725,1.0154639175257731,1.0,2909.88,3.486875,0.0,0.0,2.345360824742268,0.0,0.0,1.2927981100848804,Historical KD+PPO Local,0.0,0.97,4.0,heldout_medium,0.0,0.0,0.03,42,0.0
0.02,0.0,0.0,200,0.98,0.98,2.8822167499999995,2.9799143475,3.3576151617,196,0.7510283442789821,0.4188034188034188,1.0,1.3315076689416308,1.304877515562798,1.3315076689416308,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260204081632653,6.953061255,0.0,2.031875835,10.564685205847027,2.34,4722.36,9.739533814062016,0.13562213644385337,0.9991496598639457,1.0,24640.76,3.46875,0.0,0.0,2.316326530612245,0.0,0.0,1.304877515562798,Privileged Global Teacher,0.0,0.98,4.0,heldout_medium,0.0,0.0,0.02,42,0.0
0.015,0.0,0.0,200,0.985,0.985,2.55742725,2.6452854725000003,3.057164727599999,197,0.7675717532172427,0.4236559139784946,1.0,1.3028097970105657,1.2832676500554072,1.3028097970105657,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,6.45845793,0.0,2.0003745349999997,10.648029310435058,2.325,4682.34,9.880894838925174,0.136600109487772,0.9991539763113367,1.0,3484.26,3.459375,0.0,0.0,2.3197969543147208,0.0,0.0,1.2832676500554072,Geo-Residual Student,0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,42,0.0
0.015,0.0,0.0,200,0.985,0.985,1.442202,1.5006650425,1.6741061394999999,197,0.7674585046084398,0.4236559139784946,1.0,1.3030020437524552,1.2834570130961682,1.3030020437524552,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,3.544722745,0.0,1.998455215,10.647554178684949,2.325,4682.34,9.949398409804605,0.1388517688214779,0.9991539763113366,1.0,4083.3,3.456875,0.0,0.0,2.3197969543147208,0.0,0.0,1.2834570130961682,Predictive Prior Only,0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,42,0.0
0.015,0.0,0.0,200,0.985,0.985,2.8299135,2.937293485,3.1780704426999997,197,0.7674585046084398,0.4236559139784946,1.0,1.3030020437524552,1.2834570130961682,1.3030020437524552,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,6.643206745,0.0,2.002208785,10.647554178684949,2.325,4682.34,9.949398409804605,0.1388517688214779,0.9991539763113366,1.0,4083.3,3.456875,0.0,0.0,2.3197969543147208,0.0,0.0,1.2834570130961682,Predictive Student (No Switch),0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,42,0.0
0.015,0.0,0.019230769230769232,200,0.985,0.985,6.08073175,6.28387225,7.0293732189,197,0.7680299390554615,0.4236559139784946,1.0,1.3020325760084561,1.2825020873683293,1.3020325760084561,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,14.731552975,0.0,2.014418855,10.648267570346594,2.325,4682.34,9.955055752246016,0.1385038276016712,0.9991539763113367,1.0,3526.42,3.46,2.105,0.004814054007952412,2.3197969543147208,0.1807021051645279,0.01,1.2825020873683288,SwitchGLOBE Exact,0.00641025641025641,0.985,4.0,heldout_medium,0.004273504273504274,0.0,0.015,42,0.0
0.02,0.0,0.0,200,0.98,0.98,2.13607325,2.1982693975,2.4400524283999996,196,0.7640944666108525,0.4206008583690987,1.0,1.3087387014272052,1.282563927398661,1.3087387014272052,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239795918367347,5.0409158750000005,0.0,2.0108586450000003,10.565893336266278,2.33,4702.35,9.705951595370886,0.13746222540736197,1.0093537414965987,1.0,4702.35,3.455625,0.0,0.0,2.3316326530612246,0.0,0.01,1.282563927398661,FastSwitchGLOBE,0.0,0.98,3.25,heldout_medium,0.00425531914893617,0.0,0.02,42,0.0
