ci95_high,ci95_low,count,device,mean,method,metric,standard_deviation
0.9174028409100623,0.9070997990899377,5,cpu,0.91225132,FastSwitchGLOBE,seed_p95_ms,0.004149550051300742
1.1189747801668035,1.1056461398331965,5,cpu,1.11231046,Geo-Residual Student,seed_p95_ms,0.005368109840344223
0.8183869588922345,0.8070243811077656,5,cpu,0.81270567,Historical KD+PPO Local,seed_p95_ms,0.0045762781566465105
0.8157759106581595,0.8069792293418405,5,cpu,0.81137757,Historical PPO-only Local (No KD),seed_p95_ms,0.0035428633644977218
0.5708188410462802,0.5619176389537197,5,cpu,0.56636824,Predictive Prior Only,seed_p95_ms,0.0035849591067054288
1.9029083156380993,1.5937888043619002,5,cpu,1.7483485599999997,Predictive Student (No Switch),seed_p95_ms,0.1244978819137418
2.4583694935849634,2.3487632864150365,5,cpu,2.40356639,Privileged Global Teacher,seed_p95_ms,0.0441438994934946
2.369916217719318,2.3249476822806816,5,cpu,2.34743195,SwitchGLOBE Exact,seed_p95_ms,0.018111077465669992
2.1252067190584634,2.0950816209415364,5,cuda,2.11014417,FastSwitchGLOBE,seed_p95_ms,0.012132883144506418
2.538420370742538,2.5060192692574614,5,cuda,2.5222198199999997,Geo-Residual Student,seed_p95_ms,0.013049543491804736
1.8060755083971287,1.7782519716028715,5,cuda,1.7921637400000001,Historical KD+PPO Local,seed_p95_ms,0.011205929331128631
1.8056025621040201,1.7790057778959798,5,cuda,1.79230417,Historical PPO-only Local (No KD),seed_p95_ms,0.010711854732001315
1.3976616459865294,1.3823745740134705,5,cuda,1.39001811,Predictive Prior Only,seed_p95_ms,0.0061568681751966265
2.797933472478142,2.7596911275218576,5,cuda,2.7788123,Predictive Student (No Switch),seed_p95_ms,0.015402104276161534
3.1604714907051004,3.1119157492948992,5,cuda,3.13619362,Privileged Global Teacher,seed_p95_ms,0.019555824656179825
6.081625260143083,6.010846519856917,5,cuda,6.04623589,SwitchGLOBE Exact,seed_p95_ms,0.02850613736341291
