baseline,ci95_high,ci95_low,count,mean,metric,positive_means_variant_better,scope,standard_deviation,variant
SwitchGLOBE Exact,-0.2782439696535192,-0.4352317585018208,5,-0.35673786407767,connected_pair_pdr,1,ALL_POOLED,0.06322683132243981,Historical Untrained Local
SwitchGLOBE Exact,-0.29605167714197894,-0.4859483228580211,5,-0.391,deadline_delivery_ratio,1,ALL_POOLED,0.07648087329255486,Historical Untrained Local
SwitchGLOBE Exact,0.07997835259661024,-1.2799783525966102,5,-0.6,p95_success_delay,1,ALL_POOLED,0.5477225575051662,Historical Untrained Local
SwitchGLOBE Exact,0.13212128551871605,-0.1834735946127204,5,-0.025676154547002162,mean_transmission_energy_proxy,1,ALL_POOLED,0.1271058366939463,Historical Untrained Local
SwitchGLOBE Exact,-0.6932661010769275,-2.1593132517255844,5,-1.426289676401256,energy_per_delivered_packet,1,ALL_POOLED,0.5904504839823977,Historical Untrained Local
SwitchGLOBE Exact,-0.21926721357727416,-0.2556065728304929,5,-0.2374368932038835,connected_pair_pdr,1,ALL_POOLED,0.014635676791963797,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,-0.21909787187195526,-0.25233069955661624,5,-0.23571428571428577,deadline_delivery_ratio,1,ALL_POOLED,0.01338452121531681,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,0.0,0.0,5,0.0,p95_success_delay,1,ALL_POOLED,0.0,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,0.197585612325324,0.09093134722767203,5,0.14425847977649803,mean_transmission_energy_proxy,1,ALL_POOLED,0.04295500483584891,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,-0.46170909678678584,-0.5712218801358657,5,-0.5164654884613258,energy_per_delivered_packet,1,ALL_POOLED,0.04410627305002695,Historical PPO-only Local (No KD)
SwitchGLOBE Exact,-0.2153035015654131,-0.2306770809588587,5,-0.2229902912621359,connected_pair_pdr,1,ALL_POOLED,0.006191709038406755,Historical KD-only Local
SwitchGLOBE Exact,-0.1999582460372914,-0.21332746824842286,5,-0.20664285714285713,deadline_delivery_ratio,1,ALL_POOLED,0.00538445419135267,Historical KD-only Local
SwitchGLOBE Exact,1.7551999999999999,0.6448,5,1.2,p95_success_delay,1,ALL_POOLED,0.4472135954999579,Historical KD-only Local
SwitchGLOBE Exact,0.5863571957374513,0.5675957112981033,5,0.5769764535177773,mean_transmission_energy_proxy,1,ALL_POOLED,0.0075561877819140645,Historical KD-only Local
SwitchGLOBE Exact,0.21598691084089583,0.17498566873519328,5,0.19548628978804455,energy_per_delivered_packet,1,ALL_POOLED,0.016513250091908783,Historical KD-only Local
SwitchGLOBE Exact,-0.22141218993248218,-0.22814120812577027,5,-0.22477669902912623,connected_pair_pdr,1,ALL_POOLED,0.0027101120500765442,Historical KD+PPO Local
SwitchGLOBE Exact,-0.205259820985669,-0.2114544647286167,5,-0.20835714285714285,deadline_delivery_ratio,1,ALL_POOLED,0.0024948927423675844,Historical KD+PPO Local
SwitchGLOBE Exact,2.0799783525966102,0.7200216474033898,5,1.4,p95_success_delay,1,ALL_POOLED,0.5477225575051661,Historical KD+PPO Local
SwitchGLOBE Exact,0.6008304779149527,0.5710155557278547,5,0.5859230168214037,mean_transmission_energy_proxy,1,ALL_POOLED,0.012007959790024822,Historical KD+PPO Local
SwitchGLOBE Exact,0.22335762440853904,0.18789625100724913,5,0.2056269377078941,energy_per_delivered_packet,1,ALL_POOLED,0.014282067993657636,Historical KD+PPO Local
SwitchGLOBE Exact,-0.060774955085398485,-0.14334154976897046,5,-0.10205825242718447,connected_pair_pdr,1,ALL_POOLED,0.03325369567419663,Privileged Global Teacher
SwitchGLOBE Exact,-0.06012432436239042,-0.13301853278046671,5,-0.09657142857142857,deadline_delivery_ratio,1,ALL_POOLED,0.029358142144966865,Privileged Global Teacher
SwitchGLOBE Exact,1.877848278462742,0.12215172153725795,5,1.0,p95_success_delay,1,ALL_POOLED,0.7071067811865476,Privileged Global Teacher
SwitchGLOBE Exact,0.365672006744351,0.10485542286090282,5,0.23526371480262692,mean_transmission_energy_proxy,1,ALL_POOLED,0.10504387810206525,Privileged Global Teacher
SwitchGLOBE Exact,0.12704618204184562,-0.009596107560970624,5,0.0587250372404375,energy_per_delivered_packet,1,ALL_POOLED,0.05503268158377339,Privileged Global Teacher
SwitchGLOBE Exact,-0.10540271631295882,-0.10725747786179855,5,-0.10633009708737869,connected_pair_pdr,1,ALL_POOLED,0.0007470052062785327,Geo-Residual Student
SwitchGLOBE Exact,-0.09672344410916085,-0.09856227017655343,5,-0.09764285714285714,deadline_delivery_ratio,1,ALL_POOLED,0.0007405871911902726,Geo-Residual Student
SwitchGLOBE Exact,2.0,2.0,5,2.0,p95_success_delay,1,ALL_POOLED,0.0,Geo-Residual Student
SwitchGLOBE Exact,0.35807786521181284,0.3531088138663475,5,0.3555933395390802,mean_transmission_energy_proxy,1,ALL_POOLED,0.0020012854092484288,Geo-Residual Student
SwitchGLOBE Exact,0.20181679118238774,0.19633016577757909,5,0.1990734784799834,energy_per_delivered_packet,1,ALL_POOLED,0.00220973835955142,Geo-Residual Student
SwitchGLOBE Exact,0.0009019682460809706,-0.000901968246081015,5,-2.2204460492503132e-17,connected_pair_pdr,1,ALL_POOLED,0.0007265354149075498,Predictive Prior Only
SwitchGLOBE Exact,0.0008897970917276652,-0.0010326542345848876,5,-7.142857142861114e-05,deadline_delivery_ratio,1,ALL_POOLED,0.0007742672638813938,Predictive Prior Only
SwitchGLOBE Exact,0.0,0.0,5,0.0,p95_success_delay,1,ALL_POOLED,0.0,Predictive Prior Only
SwitchGLOBE Exact,0.007059791494943986,-0.0003258477329850817,5,0.0033669718809794524,mean_transmission_energy_proxy,1,ALL_POOLED,0.0029745661691171583,Predictive Prior Only
SwitchGLOBE Exact,0.009848768230634183,-0.0005739164423651929,5,0.0046374258941344945,energy_per_delivered_packet,1,ALL_POOLED,0.0041977362098111985,Predictive Prior Only
SwitchGLOBE Exact,0.030344629320783564,-0.0635873477673855,5,-0.01662135922330097,connected_pair_pdr,1,ALL_POOLED,0.037831103391588405,Predictive Student (No Switch)
SwitchGLOBE Exact,0.02778196385780042,-0.058496249572086156,5,-0.01535714285714287,deadline_delivery_ratio,1,ALL_POOLED,0.034748550109233015,Predictive Student (No Switch)
SwitchGLOBE Exact,0.0,0.0,5,0.0,p95_success_delay,1,ALL_POOLED,0.0,Predictive Student (No Switch)
SwitchGLOBE Exact,0.1908823254919884,-0.08387004449513746,5,0.05350614049842548,mean_transmission_energy_proxy,1,ALL_POOLED,0.11065651589884486,Predictive Student (No Switch)
SwitchGLOBE Exact,0.08912857560195939,-0.033091674214244596,5,0.0280184506938574,energy_per_delivered_packet,1,ALL_POOLED,0.04922420511816252,Predictive Student (No Switch)
SwitchGLOBE Exact,0.0004009948909847391,-0.038614587123994494,5,-0.019106796116504877,connected_pair_pdr,1,ALL_POOLED,0.015713525498417112,FastSwitchGLOBE
SwitchGLOBE Exact,0.0009618891353205053,-0.04624760342103488,5,-0.022642857142857187,deadline_delivery_ratio,1,ALL_POOLED,0.019013622935749454,FastSwitchGLOBE
SwitchGLOBE Exact,0.0,0.0,5,0.0,p95_success_delay,1,ALL_POOLED,0.0,FastSwitchGLOBE
SwitchGLOBE Exact,-0.004705855467560471,-0.1646651877706188,5,-0.08468552161908964,mean_transmission_energy_proxy,1,ALL_POOLED,0.06442362043680051,FastSwitchGLOBE
SwitchGLOBE Exact,-0.0005807038729973568,-0.28819433479693696,5,-0.14438751933496716,energy_per_delivered_packet,1,ALL_POOLED,0.11583638868902461,FastSwitchGLOBE
