exact_action_sequence_agreement,exact_node_trajectory_agreement,mean_common_prefix_ratio,scenario,training_seed
0.965,0.965,0.965,heldout_medium,42
0.96,0.96,0.96375,ood_link_loss,42
0.93,0.93,0.9333333333333332,ood_fast_mobility,42
1.0,1.0,1.0,ood_sparse,42
0.97,0.97,0.9734999999999999,ood_nodes_10,42
0.975,0.975,0.97725,unconditional_sparse,42
1.0,1.0,1.0,structural_hole_45,42
1.0,1.0,1.0,structural_hole_225_link_loss,42
1.0,1.0,1.0,predictive_break_45,42
1.0,1.0,1.0,predictive_break_225_link_loss,42
0.98,0.98,0.9825,ood_link_loss_30,42
0.94,0.94,0.9529166666666665,ood_extreme_mobility,42
0.925,0.925,0.9373095238095237,ood_nodes_16,42
0.84,0.84,0.8656150793650792,ood_nodes_24,42
0.945,0.945,0.9476666666666667,heldout_medium,77
0.96,0.96,0.9641666666666667,ood_link_loss,77
0.925,0.925,0.9266666666666667,ood_fast_mobility,77
0.985,0.985,0.98625,ood_sparse,77
0.95,0.95,0.9551666666666666,ood_nodes_10,77
0.965,0.965,0.9676785714285714,unconditional_sparse,77
1.0,1.0,1.0,structural_hole_45,77
1.0,1.0,1.0,structural_hole_225_link_loss,77
1.0,1.0,1.0,predictive_break_45,77
1.0,1.0,1.0,predictive_break_225_link_loss,77
0.975,0.975,0.977,ood_link_loss_30,77
0.915,0.915,0.9254166666666666,ood_extreme_mobility,77
0.865,0.865,0.8765595238095238,ood_nodes_16,77
0.795,0.795,0.8398055555555556,ood_nodes_24,77
0.95,0.95,0.9543333333333334,heldout_medium,123
0.945,0.945,0.9534999999999999,ood_link_loss,123
0.875,0.875,0.8870833333333333,ood_fast_mobility,123
0.97,0.97,0.97,ood_sparse,123
0.92,0.92,0.9314166666666667,ood_nodes_10,123
0.94,0.94,0.9513571428571429,unconditional_sparse,123
1.0,1.0,1.0,structural_hole_45,123
1.0,1.0,1.0,structural_hole_225_link_loss,123
1.0,1.0,1.0,predictive_break_45,123
1.0,1.0,1.0,predictive_break_225_link_loss,123
0.95,0.95,0.9576666666666667,ood_link_loss_30,123
0.87,0.87,0.88875,ood_extreme_mobility,123
0.855,0.855,0.8707261904761904,ood_nodes_16,123
0.735,0.735,0.7704361471861472,ood_nodes_24,123
0.99,0.99,0.9916666666666666,heldout_medium,314
0.99,0.99,0.9925,ood_link_loss,314
0.95,0.95,0.9533333333333333,ood_fast_mobility,314
1.0,1.0,1.0,ood_sparse,314
0.995,0.995,0.996,ood_nodes_10,314
0.985,0.985,0.9874285714285713,unconditional_sparse,314
1.0,1.0,1.0,structural_hole_45,314
1.0,1.0,1.0,structural_hole_225_link_loss,314
1.0,1.0,1.0,predictive_break_45,314
1.0,1.0,1.0,predictive_break_225_link_loss,314
0.99,0.99,0.99,ood_link_loss_30,314
0.975,0.975,0.9783333333333333,ood_extreme_mobility,314
0.955,0.955,0.9600595238095238,ood_nodes_16,314
0.905,0.905,0.9256237373737374,ood_nodes_24,314
0.93,0.93,0.9333333333333332,heldout_medium,2718
0.925,0.925,0.9301666666666668,ood_link_loss,2718
0.895,0.895,0.9110595238095239,ood_fast_mobility,2718
0.995,0.995,0.995,ood_sparse,2718
0.945,0.945,0.9496666666666667,ood_nodes_10,2718
0.955,0.955,0.95625,unconditional_sparse,2718
1.0,1.0,1.0,structural_hole_45,2718
1.0,1.0,1.0,structural_hole_225_link_loss,2718
1.0,1.0,1.0,predictive_break_45,2718
1.0,1.0,1.0,predictive_break_225_link_loss,2718
0.945,0.945,0.9534166666666667,ood_link_loss_30,2718
0.875,0.875,0.8915833333333333,ood_extreme_mobility,2718
0.915,0.915,0.9248333333333334,ood_nodes_16,2718
0.82,0.82,0.8409166666666666,ood_nodes_24,2718
