connected_pair_pdr,deadline_delivery_ratio,energy_per_delivered_packet,mean_transmission_energy_proxy,method,p95_success_delay,scenario,training_seed
0.67,0.51,2.908173779244589,1.9484764320938746,Historical Untrained Local,6.349999999999994,heldout_medium,42
0.565,0.45,3.0947752046979167,1.748547990654323,Historical Untrained Local,6.3999999999999915,ood_link_loss,42
0.62,0.4,3.368043205025972,2.0881867871161024,Historical Untrained Local,7.0,ood_fast_mobility,42
0.8,0.735,1.8810552618346752,1.5048442094677401,Historical Untrained Local,5.0,ood_sparse,42
0.56,0.475,3.725934871517527,2.086523528049815,Historical Untrained Local,7.0,ood_nodes_10,42
0.5974025974025974,0.21,3.7519946888060702,0.9004787253134569,Historical Untrained Local,5.0,unconditional_sparse,42
0.23,0.23,4.873249220422921,1.120847320697272,Historical Untrained Local,4.0,structural_hole_45,42
0.5634920634920635,0.355,3.4449329378888365,1.8258144570810833,Historical Untrained Local,4.0,structural_hole_225_link_loss,42
0.0,0.0,292.7732114609207,1.4638660573046036,Historical Untrained Local,nan,predictive_break_45,42
0.4011627906976744,0.345,6.638265165495507,2.7216887178531577,Historical Untrained Local,6.0,predictive_break_225_link_loss,42
0.475,0.42,2.8687341823728363,1.3626487366270974,Historical Untrained Local,5.299999999999997,ood_link_loss_30,42
0.62,0.34,3.644837469421442,2.2597992310412938,Historical Untrained Local,7.0,ood_extreme_mobility,42
0.395,0.215,7.591690896702046,2.998717904197308,Historical Untrained Local,11.0,ood_nodes_16,42
0.195,0.06,19.139688181258265,3.732239195345362,Historical Untrained Local,12.0,ood_nodes_24,42
0.705,0.62,2.2824789825932132,1.6091476827282154,Historical Untrained Local,6.0,heldout_medium,77
0.635,0.58,2.3321189605905697,1.4808955399750119,Historical Untrained Local,6.0,ood_link_loss,77
0.755,0.625,2.321364729712464,1.75263037093291,Historical Untrained Local,7.0,ood_fast_mobility,77
0.795,0.775,1.682259573823848,1.3373963611899589,Historical Untrained Local,5.0,ood_sparse,77
0.64,0.57,2.8348355067820776,1.8142947243405296,Historical Untrained Local,6.6499999999999915,ood_nodes_10,77
0.7922077922077922,0.3,2.6438484798028727,0.8460315135369194,Historical Untrained Local,4.0,unconditional_sparse,77
0.265,0.265,4.502446314628746,1.1931482733766177,Historical Untrained Local,4.0,structural_hole_45,77
0.42063492063492064,0.265,3.7949233884749702,1.517969355389988,Historical Untrained Local,4.0,structural_hole_225_link_loss,77
0.27,0.27,6.849918810219179,1.8494780787591785,Historical Untrained Local,6.0,predictive_break_45,77
0.01744186046511628,0.015,97.34068404713099,1.9468136809426202,Historical Untrained Local,6.0,predictive_break_225_link_loss,77
0.57,0.53,2.3452321544761174,1.3367823280513869,Historical Untrained Local,5.0,ood_link_loss_30,77
0.785,0.59,2.2389246671109535,1.7575558636820987,Historical Untrained Local,7.0,ood_extreme_mobility,77
0.525,0.34,4.818943144195648,2.5299451507027153,Historical Untrained Local,9.799999999999997,ood_nodes_16,77
0.4,0.255,7.501240966595034,3.0004963866380137,Historical Untrained Local,10.0,ood_nodes_24,77
0.785,0.705,2.262367065597837,1.7759581464943022,Historical Untrained Local,6.0,heldout_medium,123
0.665,0.635,2.2886370466533648,1.5219436360244876,Historical Untrained Local,5.0,ood_link_loss,123
0.79,0.715,2.1296034350070907,1.6823867136556014,Historical Untrained Local,6.0,ood_fast_mobility,123
0.85,0.83,1.6446205584288738,1.3979274746645427,Historical Untrained Local,4.0,ood_sparse,123
0.765,0.715,2.384675205298334,1.8242765320532255,Historical Untrained Local,6.0,ood_nodes_10,123
0.8311688311688312,0.31,2.4081682528498733,0.8308180472332063,Historical Untrained Local,4.599999999999994,unconditional_sparse,123
0.55,0.55,3.2397901860672826,1.7818846023370054,Historical Untrained Local,4.0,structural_hole_45,123
0.19047619047619047,0.12,6.69847189511508,0.9712784247916866,Historical Untrained Local,4.0,structural_hole_225_link_loss,123
0.0,0.0,384.4875071243217,1.9224375356216088,Historical Untrained Local,nan,predictive_break_45,123
0.11046511627906977,0.095,10.439066946270215,1.4092740377464787,Historical Untrained Local,6.0,predictive_break_225_link_loss,123
0.61,0.6,2.105422726136944,1.2843078629435354,Historical Untrained Local,5.0,ood_link_loss_30,123
0.82,0.72,2.185426443020304,1.7920496832766495,Historical Untrained Local,6.0,ood_extreme_mobility,123
0.55,0.41,4.834775758868977,2.6591266673779375,Historical Untrained Local,9.549999999999997,ood_nodes_16,123
0.48,0.325,7.193183151144812,3.4527279125495096,Historical Untrained Local,12.0,ood_nodes_24,123
0.835,0.78,1.8540273875530096,1.548112868606763,Historical Untrained Local,5.0,heldout_medium,314
0.73,0.68,2.0061839705764863,1.464514298520835,Historical Untrained Local,5.0,ood_link_loss,314
0.835,0.765,1.887862561356521,1.5763652387326947,Historical Untrained Local,6.0,ood_fast_mobility,314
0.88,0.87,1.4655902169918178,1.2897193909527997,Historical Untrained Local,4.0,ood_sparse,314
0.78,0.75,2.0900855344747886,1.6302667168903349,Historical Untrained Local,6.0,ood_nodes_10,314
0.8961038961038961,0.34,2.068661505483049,0.7964346796109738,Historical Untrained Local,5.0,unconditional_sparse,314
0.595,0.595,3.150996588348896,1.8748429700675928,Historical Untrained Local,4.0,structural_hole_45,314
0.30158730158730157,0.19,4.63828965863504,1.275529656124636,Historical Untrained Local,4.0,structural_hole_225_link_loss,314
0.445,0.445,5.78417178306289,2.573956443462986,Historical Untrained Local,6.0,predictive_break_45,314
0.05813953488372093,0.05,24.818777618183674,1.4891266570910204,Historical Untrained Local,6.0,predictive_break_225_link_loss,314
0.635,0.615,1.896921142835772,1.2045449257007153,Historical Untrained Local,5.0,ood_link_loss_30,314
0.83,0.73,1.9138964642367617,1.588534065316512,Historical Untrained Local,6.0,ood_extreme_mobility,314
0.645,0.53,3.6024119289678804,2.3235556941842828,Historical Untrained Local,8.599999999999994,ood_nodes_16,314
0.5,0.33,6.240846510984856,3.1204232554924283,Historical Untrained Local,11.0,ood_nodes_24,314
0.77,0.685,2.316390879865751,1.7836209774966283,Historical Untrained Local,6.0,heldout_medium,2718
0.615,0.525,2.6489696050513567,1.6291163071065844,Historical Untrained Local,6.0,ood_link_loss,2718
0.72,0.58,2.725396898952647,1.9622857672459058,Historical Untrained Local,6.0,ood_fast_mobility,2718
0.8,0.77,1.7460401428943633,1.3968321143154907,Historical Untrained Local,5.0,ood_sparse,2718
0.685,0.59,2.8816638439810838,1.9739397331270425,Historical Untrained Local,6.0,ood_nodes_10,2718
0.7662337662337663,0.285,2.7581186814967573,0.8688073846714787,Historical Untrained Local,4.0,unconditional_sparse,2718
0.46,0.46,3.4694953627735443,1.5959678668758304,Historical Untrained Local,4.0,structural_hole_45,2718
0.30952380952380953,0.195,4.468633756858573,1.318246958273279,Historical Untrained Local,4.0,structural_hole_225_link_loss,2718
0.305,0.305,7.877772900894103,2.4027207347727018,Historical Untrained Local,6.0,predictive_break_45,2718
0.09302325581395349,0.08,19.2496558806157,1.92496558806157,Historical Untrained Local,6.0,predictive_break_225_link_loss,2718
0.55,0.515,2.472630646813246,1.3599468557472851,Historical Untrained Local,5.0,ood_link_loss_30,2718
0.715,0.56,2.677076233839176,1.914109507195011,Historical Untrained Local,7.0,ood_extreme_mobility,2718
0.465,0.35,5.989577629893804,2.785153597900619,Historical Untrained Local,10.0,ood_nodes_16,2718
0.38,0.22,9.5320716822997,3.622187239273885,Historical Untrained Local,10.25,ood_nodes_24,2718
0.9,0.885,1.667157347999403,1.500441613199463,Historical PPO-only Local (No KD),4.0,heldout_medium,42
0.795,0.785,1.756299138546566,1.39625781514452,Historical PPO-only Local (No KD),4.0,ood_link_loss,42
0.9,0.88,1.606802313624866,1.446122082262379,Historical PPO-only Local (No KD),5.0,ood_fast_mobility,42
0.9,0.9,1.3443403352952044,1.209906301765684,Historical PPO-only Local (No KD),3.0,ood_sparse,42
0.83,0.82,2.0398627225765975,1.693086059738576,Historical PPO-only Local (No KD),5.0,ood_nodes_10,42
0.948051948051948,0.365,2.0661437076958893,0.8057960460013968,Historical PPO-only Local (No KD),3.1499999999999915,unconditional_sparse,42
0.53,0.53,3.2840939098764568,1.7405697722345221,Historical PPO-only Local (No KD),4.0,structural_hole_45,42
0.20634920634920634,0.13,5.812376748045465,1.0171659309079564,Historical PPO-only Local (No KD),4.0,structural_hole_225_link_loss,42
0.56,0.56,5.182457715588201,2.902176320729393,Historical PPO-only Local (No KD),6.0,predictive_break_45,42
0.05232558139534884,0.045,26.931966917323788,1.4812581804528082,Historical PPO-only Local (No KD),6.0,predictive_break_225_link_loss,42
0.705,0.7,1.8329717374271528,1.2922450748861427,Historical PPO-only Local (No KD),4.0,ood_link_loss_30,42
0.92,0.895,1.578009806883005,1.4517690223323647,Historical PPO-only Local (No KD),4.0,ood_extreme_mobility,42
0.715,0.645,3.2519771860147895,2.325163688000574,Historical PPO-only Local (No KD),7.0,ood_nodes_16,42
0.64,0.56,5.073702703721176,3.247169730381553,Historical PPO-only Local (No KD),9.0,ood_nodes_24,42
0.895,0.88,1.5742765734443576,1.4089775332326997,Historical PPO-only Local (No KD),5.0,heldout_medium,77
0.84,0.83,1.5587808582487217,1.3093759209289266,Historical PPO-only Local (No KD),4.650000000000006,ood_link_loss,77
0.9,0.87,1.5162891724794902,1.3646602552315408,Historical PPO-only Local (No KD),5.0,ood_fast_mobility,77
0.895,0.895,1.3513995481386056,1.2095025955840522,Historical PPO-only Local (No KD),3.0,ood_sparse,77
0.855,0.85,1.824874914094755,1.5602680515510157,Historical PPO-only Local (No KD),4.5,ood_nodes_10,77
0.935064935064935,0.36,1.9604268135571308,0.7547643232194955,Historical PPO-only Local (No KD),4.0,unconditional_sparse,77
0.58,0.58,3.179063530156432,1.8438568474907304,Historical PPO-only Local (No KD),4.0,structural_hole_45,77
0.30158730158730157,0.19,4.713903409385153,1.2020453693932138,Historical PPO-only Local (No KD),4.0,structural_hole_225_link_loss,77
0.045,0.045,48.47593580755353,2.1814171113399095,Historical PPO-only Local (No KD),6.0,predictive_break_45,77
