block,component,device,latency_ms,order_position,training_seed,variant
0,end_to_end_policy,cpu,0.49566,0,2718,Fixed Manual Prior
0,end_to_end_policy,cpu,0.44874,1,2718,Shortest+Risk (No Teacher)
0,end_to_end_policy,cpu,0.468947,2,2718,Teacher+Shortest+Risk
0,end_to_end_policy,cpu,0.44748,3,2718,Risk-Oracle Only
0,end_to_end_policy,cpu,0.458782,4,2718,Teacher Distillation Only
0,end_to_end_policy,cpu,0.462726,5,2718,Existing Phase11 Predictive Prior
0,end_to_end_policy,cpu,0.468159,6,2718,Shortest-Oracle Only
1,end_to_end_policy,cpu,0.53822,0,2718,Shortest-Oracle Only
1,end_to_end_policy,cpu,0.481557,1,2718,Teacher Distillation Only
1,end_to_end_policy,cpu,0.47713,2,2718,Fixed Manual Prior
1,end_to_end_policy,cpu,0.453699,3,2718,Existing Phase11 Predictive Prior
1,end_to_end_policy,cpu,0.466443,4,2718,Risk-Oracle Only
1,end_to_end_policy,cpu,0.441995,5,2718,Teacher+Shortest+Risk
1,end_to_end_policy,cpu,0.473909,6,2718,Shortest+Risk (No Teacher)
2,end_to_end_policy,cpu,0.460274,0,2718,Fixed Manual Prior
2,end_to_end_policy,cpu,0.471278,1,2718,Teacher+Shortest+Risk
2,end_to_end_policy,cpu,0.440644,2,2718,Risk-Oracle Only
2,end_to_end_policy,cpu,0.471119,3,2718,Shortest+Risk (No Teacher)
2,end_to_end_policy,cpu,0.443523,4,2718,Shortest-Oracle Only
2,end_to_end_policy,cpu,0.470802,5,2718,Teacher Distillation Only
2,end_to_end_policy,cpu,0.436267,6,2718,Existing Phase11 Predictive Prior
3,end_to_end_policy,cpu,0.587888,0,2718,Teacher+Shortest+Risk
3,end_to_end_policy,cpu,0.450935,1,2718,Shortest-Oracle Only
3,end_to_end_policy,cpu,0.477989,2,2718,Shortest+Risk (No Teacher)
3,end_to_end_policy,cpu,0.447476,3,2718,Teacher Distillation Only
3,end_to_end_policy,cpu,0.486429,4,2718,Risk-Oracle Only
3,end_to_end_policy,cpu,0.464694,5,2718,Fixed Manual Prior
3,end_to_end_policy,cpu,0.467566,6,2718,Existing Phase11 Predictive Prior
4,end_to_end_policy,cpu,0.459404,0,2718,Teacher+Shortest+Risk
4,end_to_end_policy,cpu,0.45409,1,2718,Shortest-Oracle Only
4,end_to_end_policy,cpu,0.463977,2,2718,Fixed Manual Prior
4,end_to_end_policy,cpu,0.44562,3,2718,Shortest+Risk (No Teacher)
4,end_to_end_policy,cpu,0.466299,4,2718,Teacher Distillation Only
4,end_to_end_policy,cpu,0.436477,5,2718,Risk-Oracle Only
4,end_to_end_policy,cpu,0.478768,6,2718,Existing Phase11 Predictive Prior
5,end_to_end_policy,cpu,0.453635,0,2718,Teacher+Shortest+Risk
5,end_to_end_policy,cpu,0.473099,1,2718,Shortest-Oracle Only
