action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[6,2]",0.0,0.0,0.0,0.0,6.310889959335327,1,,,2.0,4,1.6428115,1.72978705,1.7375182100000002,3.285623,2,1,,0,,2.0800590000000003,1100000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,10.18383257964045,0.19101154804229736,0.0,"[3,6,2]",1.0,3490,4.0,,0.0,heldout_medium,2,0.0,0.0,0.5,11.037417364120483,314,2,1.2454143363902581
"[2,6]",0.0,0.0,0.0,0.0,5.020563960075378,1,,,2.0,4,1.5523384999999998,1.55400305,1.55415101,3.1046769999999997,2,1,,0,,1.95629,1100001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.11677336692810059,0.0,"[7,2,6]",1.0,3490,3.0,,0.0,heldout_medium,2,0.0,0.0,0.5,10.797459077835082,314,2,0.9184095742707834
"[2,6,5]",0.0,0.0,0.0,0.0,7.833065092563629,1,,,4.0,7,1.537205,1.5556397,1.5572783399999999,4.622606,3,1,,0,,2.581983,1100002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.0912407636642456,0.0,"[3,2,6,5]",0.75,5235,3.5,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.684932708740234,314,3,1.6116792519910101
"[4,7]",0.0,0.0,0.0,0.0,5.282225847244263,1,,,2.0,4,1.8156805,1.86789715,1.87253863,3.631361,2,1,,0,,1.539366,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.2020200490951538,0.0,"[2,4,7]",1.0,3490,3.375,,0.0,heldout_medium,2,0.0,0.0,0.5,10.651459741592408,314,2,0.9098582117970189
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.5479535000000002,1.55278515,1.55321463,3.0959070000000004,2,1,,0,,1.192384,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,3490,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,314,2,1.3128961105718773
"[5,0,6]",0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,1.543803,1.5674811,1.56958582,4.642048,3,1,,0,,2.127365,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.0406796932220459,0.0,"[4,5,0,6]",1.0,5235,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,314,3,2.369984529168935
"[1,3,0]",0.0,0.0,0.0,0.0,10.122877836227417,1,,,4.0,7,1.550746,1.5615136,1.56247072,4.646314,3,1,,0,,2.294858,1100006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.00989001989364624,0.0,"[2,1,3,0]",0.75,5235,5.375,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.575439500808715,314,3,2.167385196916104
"[0,4]",0.0,0.0,0.0,0.0,5.743571519851685,1,,,2.0,4,1.5464025000000001,1.56176145,1.56312669,3.0928050000000002,2,1,,0,,1.428214,1100007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,10.901305315310605,0.13309800624847412,0.0,"[1,0,4]",1.0,3490,3.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.939948749542236,314,2,1.0752696953619996
"[0,6]",0.0,0.0,0.0,0.0,6.424596548080444,1,,,2.0,4,1.556281,1.5757048,1.57743136,3.112562,2,1,,0,,1.533918,1100008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.10769736766815186,0.0,"[2,0,6]",1.0,3490,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,11.047343301773072,314,2,1.3057808199219956
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.5752410000000001,1.5773821000000001,1.57757242,3.1504820000000002,2,1,,0,,1.077884,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,3490,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,314,2,0.6050165978419892
"[6,0,5]",0.0,0.0,0.0,0.0,6.874256014823914,1,,,3.0,6,1.543457,1.5726809,1.57527858,4.655263,3,1,,0,,1.8554249999999999,1100010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,8.118479691228213,0.3382644057273865,0.0,"[1,6,0,5]",1.0,5235,4.125,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.867658352851867,314,3,1.006123737122551
"[5,4]",0.0,0.0,0.0,0.0,4.905057311058044,1,,,2.0,4,1.552644,1.5597018,1.56032916,3.105288,2,1,,0,,1.243851,1100011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,0.4036857180797547,0.016938984394073486,0.0,"[3,5,4]",1.0,3490,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,10.760739922523499,314,2,1.0255568114490616
"[5,2]",0.0,0.0,0.0,0.0,4.979211449623108,1,,,2.0,4,1.5470815,1.54827535,1.54838147,3.094163,2,1,,0,,1.821529,1100012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.06158322095870972,0.0,"[0,5,2]",1.0,3490,2.5,,0.0,heldout_medium,2,0.0,0.0,0.5,10.700611901283265,314,2,0.97449848326566
"[0,2]",0.0,0.0,0.0,0.0,7.146505117416382,1,,,2.0,4,1.587156,1.6148778,1.61734196,3.174312,2,1,,0,,2.156611,1100013,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.08324450254440308,0.0,"[4,0,2]",1.0,3490,3.0,,0.0,heldout_medium,2,0.0,0.0,0.5,11.027259731292725,314,2,1.5971158193157642
"[7,3]",0.0,0.0,0.0,0.0,5.336532235145569,1,,,2.0,4,1.5625005,1.57898445,1.58044969,3.125001,2,1,,0,,1.877564,1100014,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,8.268041821936714,0.06349343061447144,0.0,"[0,7,3]",1.0,3490,2.625,,0.0,heldout_medium,2,0.0,0.0,0.5,10.866651391983034,314,2,1.035151379575507
"[6,4]",0.0,0.0,0.0,0.0,4.684369206428528,1,,,2.0,4,1.544642,1.5656642,1.5675328400000001,3.089284,2,1,,0,,1.4250829999999999,1100015,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.279763400554657,0.0,"[1,6,4]",1.0,3490,3.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.657536339759826,314,2,0.7220116233523912
"[0,2,6]",0.0,0.0,0.0,0.0,6.770340085029602,1,,,1.0,4,1.514067,1.5357642,1.53769284,4.560222,3,1,,0,,2.00964,1100016,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Fixed Manual Prior,3.6976835557762664,0.21159017086029053,0.0,"[4,0,2,6]",1.5,5235,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.6177583694458,314,3,1.0333653277633816
"[2,0]",0.0,0.0,0.0,0.0,4.929038047790527,1,,,2.0,4,1.52471,1.5392261,1.54051642,3.04942,2,1,,0,,1.696623,1100017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.22108882665634155,0.0,"[1,2,0]",1.0,3490,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.685526275634764,314,2,0.8122273320745776
"[3,6]",0.0,0.0,0.0,0.0,7.201524257659912,1,,,2.0,4,1.5170535,1.5304810500000001,1.53167461,3.034107,2,1,,0,,2.065029,1100018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.032773494720458984,0.0,"[5,3,6]",1.0,3490,3.625,,0.0,heldout_medium,2,0.0,0.0,0.5,11.157442712783814,314,2,1.6296736319234384
"[6,1,0]",0.0,0.0,0.0,0.0,10.467812776565552,1,,,3.0,6,1.528566,1.5562239,1.55868238,4.606465,3,1,,0,,2.532104,1100019,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.08717823028564453,0.0,"[4,6,1,0]",1.0,5235,4.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.487733507156372,314,3,2.2894634735498762
"[2,0]",0.0,0.0,0.0,0.0,6.9006266593933105,1,,,2.0,4,1.5474904999999999,1.57062455,1.5726809099999999,3.0949809999999998,2,1,,0,,1.974357,1100020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,7.9570508239596,0.0176924467086792,0.0,"[5,2,0]",1.0,3490,3.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.87357783317566,314,2,1.5167529317942154
