connected_pair_pdr,deadline_delivery_ratio,energy_per_delivered_packet,mean_transmission_energy_proxy,method,p95_success_delay,scenario,training_seed
0.98,0.975,1.319706110104583,1.2933119879024917,Fixed Manual Prior,4.0,heldout_medium,42
0.91,0.91,1.3218377335355758,1.202872337517374,Fixed Manual Prior,4.0,ood_link_loss,42
0.94,0.92,1.3210302169746402,1.2417684039561618,Fixed Manual Prior,5.0,ood_fast_mobility,42
0.975,0.975,1.237056063627963,1.206129662037264,Fixed Manual Prior,4.0,ood_sparse,42
0.965,0.965,1.456276053722279,1.4053063918419992,Fixed Manual Prior,4.0,ood_nodes_10,42
0.948051948051948,0.365,1.8422837375701775,0.72770207634022,Fixed Manual Prior,4.0,unconditional_sparse,42
1.0,1.0,2.711468279642881,2.7114682796428804,Fixed Manual Prior,4.0,structural_hole_45,42
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Fixed Manual Prior,4.0,structural_hole_225_link_loss,42
1.0,1.0,4.235826826754887,4.235826826754887,Fixed Manual Prior,6.0,predictive_break_45,42
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Fixed Manual Prior,6.0,predictive_break_225_link_loss,42
0.755,0.755,1.4373716028803818,1.085215560174688,Fixed Manual Prior,4.0,ood_link_loss_30,42
0.945,0.91,1.3682635839566106,1.293009086838997,Fixed Manual Prior,5.0,ood_extreme_mobility,42
0.935,0.92,1.809855883265284,1.6922152508530406,Fixed Manual Prior,5.0,ood_nodes_16,42
0.865,0.85,2.273350750823723,1.9664483994625204,Fixed Manual Prior,7.0,ood_nodes_24,42
0.98,0.975,1.319706110104583,1.2933119879024917,Fixed Manual Prior,4.0,heldout_medium,77
0.91,0.91,1.3218377335355758,1.202872337517374,Fixed Manual Prior,4.0,ood_link_loss,77
0.94,0.92,1.3210302169746402,1.2417684039561618,Fixed Manual Prior,5.0,ood_fast_mobility,77
0.975,0.975,1.237056063627963,1.206129662037264,Fixed Manual Prior,4.0,ood_sparse,77
0.965,0.965,1.456276053722279,1.4053063918419992,Fixed Manual Prior,4.0,ood_nodes_10,77
0.948051948051948,0.365,1.8422837375701775,0.72770207634022,Fixed Manual Prior,4.0,unconditional_sparse,77
1.0,1.0,2.711468279642881,2.7114682796428804,Fixed Manual Prior,4.0,structural_hole_45,77
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Fixed Manual Prior,4.0,structural_hole_225_link_loss,77
1.0,1.0,4.235826826754887,4.235826826754887,Fixed Manual Prior,6.0,predictive_break_45,77
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Fixed Manual Prior,6.0,predictive_break_225_link_loss,77
0.755,0.755,1.4373716028803818,1.085215560174688,Fixed Manual Prior,4.0,ood_link_loss_30,77
0.945,0.91,1.3682635839566106,1.293009086838997,Fixed Manual Prior,5.0,ood_extreme_mobility,77
0.935,0.92,1.809855883265284,1.6922152508530406,Fixed Manual Prior,5.0,ood_nodes_16,77
0.865,0.85,2.273350750823723,1.9664483994625204,Fixed Manual Prior,7.0,ood_nodes_24,77
0.98,0.975,1.319706110104583,1.2933119879024917,Fixed Manual Prior,4.0,heldout_medium,123
0.91,0.91,1.3218377335355758,1.202872337517374,Fixed Manual Prior,4.0,ood_link_loss,123
0.94,0.92,1.3210302169746402,1.2417684039561618,Fixed Manual Prior,5.0,ood_fast_mobility,123
0.975,0.975,1.237056063627963,1.206129662037264,Fixed Manual Prior,4.0,ood_sparse,123
0.965,0.965,1.456276053722279,1.4053063918419992,Fixed Manual Prior,4.0,ood_nodes_10,123
0.948051948051948,0.365,1.8422837375701775,0.72770207634022,Fixed Manual Prior,4.0,unconditional_sparse,123
1.0,1.0,2.711468279642881,2.7114682796428804,Fixed Manual Prior,4.0,structural_hole_45,123
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Fixed Manual Prior,4.0,structural_hole_225_link_loss,123
1.0,1.0,4.235826826754887,4.235826826754887,Fixed Manual Prior,6.0,predictive_break_45,123
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Fixed Manual Prior,6.0,predictive_break_225_link_loss,123
0.755,0.755,1.4373716028803818,1.085215560174688,Fixed Manual Prior,4.0,ood_link_loss_30,123
0.945,0.91,1.3682635839566106,1.293009086838997,Fixed Manual Prior,5.0,ood_extreme_mobility,123
0.935,0.92,1.809855883265284,1.6922152508530406,Fixed Manual Prior,5.0,ood_nodes_16,123
0.865,0.85,2.273350750823723,1.9664483994625204,Fixed Manual Prior,7.0,ood_nodes_24,123
0.98,0.975,1.319706110104583,1.2933119879024917,Fixed Manual Prior,4.0,heldout_medium,314
0.91,0.91,1.3218377335355758,1.202872337517374,Fixed Manual Prior,4.0,ood_link_loss,314
0.94,0.92,1.3210302169746402,1.2417684039561618,Fixed Manual Prior,5.0,ood_fast_mobility,314
0.975,0.975,1.237056063627963,1.206129662037264,Fixed Manual Prior,4.0,ood_sparse,314
0.965,0.965,1.456276053722279,1.4053063918419992,Fixed Manual Prior,4.0,ood_nodes_10,314
0.948051948051948,0.365,1.8422837375701775,0.72770207634022,Fixed Manual Prior,4.0,unconditional_sparse,314
1.0,1.0,2.711468279642881,2.7114682796428804,Fixed Manual Prior,4.0,structural_hole_45,314
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Fixed Manual Prior,4.0,structural_hole_225_link_loss,314
1.0,1.0,4.235826826754887,4.235826826754887,Fixed Manual Prior,6.0,predictive_break_45,314
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Fixed Manual Prior,6.0,predictive_break_225_link_loss,314
0.755,0.755,1.4373716028803818,1.085215560174688,Fixed Manual Prior,4.0,ood_link_loss_30,314
0.945,0.91,1.3682635839566106,1.293009086838997,Fixed Manual Prior,5.0,ood_extreme_mobility,314
