baseline,ci95_high,ci95_low,count,definition,mean,metric,question,standard_deviation,variant
Fixed Manual Prior,0.0,0.0,5,per-seed minimum direction-aligned scenario effect,0.0,connected_pair_pdr,risk supervision vs fixed manual,0.0,Risk-Oracle Only
Fixed Manual Prior,0.0,0.0,5,per-seed minimum direction-aligned scenario effect,0.0,deadline_delivery_ratio,risk supervision vs fixed manual,0.0,Risk-Oracle Only
Fixed Manual Prior,0.0,0.0,5,per-seed minimum direction-aligned scenario effect,0.0,p95_success_delay,risk supervision vs fixed manual,0.0,Risk-Oracle Only
Fixed Manual Prior,-0.010668436301483529,-0.013668706833716928,5,per-seed minimum direction-aligned scenario effect,-0.012168571567600229,mean_transmission_energy_proxy,risk supervision vs fixed manual,0.0012083589446980098,Risk-Oracle Only
Fixed Manual Prior,-0.0028714344712981177,-0.0028714344712981177,5,per-seed minimum direction-aligned scenario effect,-0.0028714344712981177,energy_per_delivered_packet,risk supervision vs fixed manual,0.0,Risk-Oracle Only
Fixed Manual Prior,-1.0,-1.0,5,per-seed minimum direction-aligned scenario effect,-1.0,connected_pair_pdr,shortest supervision vs fixed manual,0.0,Shortest-Oracle Only
Fixed Manual Prior,-1.0,-1.0,5,per-seed minimum direction-aligned scenario effect,-1.0,deadline_delivery_ratio,shortest supervision vs fixed manual,0.0,Shortest-Oracle Only
Fixed Manual Prior,0.0,0.0,5,per-seed minimum direction-aligned scenario effect,0.0,p95_success_delay,shortest supervision vs fixed manual,0.0,Shortest-Oracle Only
Fixed Manual Prior,-0.02035487943099068,-0.02035487943099068,5,per-seed minimum direction-aligned scenario effect,-0.02035487943099068,mean_transmission_energy_proxy,shortest supervision vs fixed manual,0.0,Shortest-Oracle Only
Fixed Manual Prior,-177.17002561432176,-177.17002561432176,5,per-seed minimum direction-aligned scenario effect,-177.17002561432176,energy_per_delivered_packet,shortest supervision vs fixed manual,0.0,Shortest-Oracle Only
