component,mean_seed_p95_ms,variant
preprocess,0.014381029999999994,Exact
preprocess,0.015262379999999996,Early Exit
preprocess,0.014228339999999997,Fast
preprocess,0.01592935,Fast + Top-2
model,0.9773052899999994,Exact
model,0.990051889999999,Early Exit
model,0.23586102999999978,Fast
model,0.2806539399999997,Fast + Top-2
action_extraction,0.002851669999999999,Exact
action_extraction,0.00227561,Early Exit
action_extraction,0.0025004199999999997,Fast
action_extraction,0.0027504199999999995,Fast + Top-2
