environment,device,baseline,candidate,n_seeds,seeds,baseline_p95_ms_seed_mean,candidate_p95_ms_seed_mean,paired_delta_ms_seed_mean,paired_reduction_percent_seed_mean,paired_reduction_t95_low,paired_reduction_t95_high,paired_reduction_bootstrap95_low,paired_reduction_bootstrap95_high,exact_sign_flip_p,holm_adjusted_p
local_mac,cpu,exact_eager_cpu,early_exit_cpu,5,42;77;123;314;2718,0.9180985599999995,1.0197860599999995,0.10168749999999989,-11.712623264111976,-29.62644042423933,6.201193896015379,-22.991543661521195,-0.43370286670275765,0.1875,0.375
local_mac,cpu,exact_eager_cpu,exact_buffered_cpu,5,42;77;123;314;2718,0.9180985599999995,0.9881118699999994,0.0700133100000001,-7.904367140642471,-34.49586649832705,18.6871322170421,-24.446615650602272,8.63788136931733,0.4375,0.4375
local_mac,cpu,exact_eager_cpu,fast_eager_cpu,5,42;77;123;314;2718,0.9180985599999995,0.27087063999999994,-0.6472279199999995,70.18529993848686,64.7305434528368,75.64005642413693,67.02004527894636,73.60679113158758,0.0625,0.3125
local_mac,cpu,exact_eager_cpu,fast_top2_eager_cpu,5,42;77;123;314;2718,0.9180985599999995,0.3263948699999996,-0.5917036899999998,65.08533479588998,56.17245985600874,73.99820973577121,59.52863807209572,70.64203151968422,0.0625,0.3125
local_mac,cpu,exact_eager_cpu,legacy_repeated_cpu,5,42;77;123;314;2718,0.9180985599999995,1.6766877999999994,0.7585892399999999,-83.77001545036693,-149.53287302200062,-18.00715787873324,-129.30911177189063,-50.760203366940964,0.0625,0.3125
colab_a100,cpu,exact_eager_cpu,early_exit_cpu,5,42;77;123;314;2718,2.20837892,2.4268804499999996,0.2185015299999999,-9.897728250431063,-11.231596181252572,-8.563860319609555,-10.780658173101681,-9.060330360424569,0.0625,0.3125
colab_a100,cpu,exact_eager_cpu,exact_buffered_cpu,5,42;77;123;314;2718,2.20837892,2.2440874099999997,0.03570848999999976,-1.616960483017316,-2.9661338445999332,-0.26778712143469896,-2.4251910797896263,-0.750297352197142,0.0625,0.3125
colab_a100,cpu,exact_eager_cpu,fast_eager_cpu,5,42;77;123;314;2718,2.20837892,0.8467172099999999,-1.3616617100000001,61.656046244865266,60.88647801959051,62.42561447014002,61.17678723512371,62.14770532601025,0.0625,0.3125
colab_a100,cpu,exact_eager_cpu,fast_top2_eager_cpu,5,42;77;123;314;2718,2.20837892,0.88085264,-1.32752628,60.110488993684974,59.18319861558131,61.03777937178864,59.50825784128326,60.63768996443072,0.0625,0.3125
colab_a100,cpu,exact_eager_cpu,legacy_repeated_cpu,5,42;77;123;314;2718,2.20837892,3.7753468499999996,1.5669679300000001,-70.96633171058342,-74.70434332533652,-67.22832009583031,-73.647953435179,-69.09714693975927,0.0625,0.3125
colab_a100,cuda,exact_eager_cuda,early_exit_cuda,5,42;77;123;314;2718,5.8360403,6.38552435,0.5494840500000002,-9.419362263208148,-10.620864795388204,-8.217859731028092,-10.22022002149506,-8.61390849750295,0.0625,0.3125
colab_a100,cuda,exact_eager_cuda,exact_buffered_cuda,5,42;77;123;314;2718,5.8360403,5.7876952699999995,-0.04834502999999994,0.8269993879586421,0.21018991790178831,1.443808858015496,0.47555888513615124,1.2539535979286196,0.0625,0.3125
colab_a100,cuda,exact_eager_cuda,fast_eager_cuda,5,42;77;123;314;2718,5.8360403,2.00457077,-3.8314695300000006,65.65079949554612,65.06130799446262,66.24029099662962,65.2351431673903,65.94856502610642,0.0625,0.3125
colab_a100,cuda,exact_eager_cuda,fast_top2_eager_cuda,5,42;77;123;314;2718,5.8360403,2.09173537,-3.7443049299999998,64.1565162078394,63.64846885315238,64.66456356252642,63.843652041063024,64.5017905295758,0.0625,0.3125
colab_a100,cuda,exact_eager_cuda,legacy_repeated_cuda,5,42;77;123;314;2718,5.8360403,10.004249060000001,4.16820876,-71.42753494130643,-73.54609880466732,-69.30897107794554,-72.65460248724213,-69.96790671205763,0.0625,0.3125
