method,metric,metric_label,unit,higher_is_better,count,mean,standard_deviation,ci95_low,ci95_high
Geo-Residual Student,connected_pair_pdr,Connected-pair PDR,ratio,True,5,0.8052815533980583,0.0010492626086296155,0.8039789306554292,0.8065841761406873
Predictive Prior Only,connected_pair_pdr,Connected-pair PDR,ratio,True,5,0.9116116504854368,0.0008940477229686882,0.9105017215816938,0.9127215793891797
Predictive Student (No Switch),connected_pair_pdr,Connected-pair PDR,ratio,True,5,0.8949902912621359,0.037907965603021516,0.8479288809772612,0.9420517015470107
SwitchGLOBE Exact,connected_pair_pdr,Connected-pair PDR,ratio,True,5,0.9116116504854368,0.0012463539056995214,0.910064345807298,0.9131589551635756
FastSwitchGLOBE,connected_pair_pdr,Connected-pair PDR,ratio,True,5,0.892504854368932,0.016579841078022874,0.8719215629414263,0.9130881457964377
FastSwitchGLOBE + Top-2,connected_pair_pdr,Connected-pair PDR,ratio,True,5,0.892504854368932,0.016579841078022874,0.8719215629414263,0.9130881457964377
Geo-Residual Student,deadline_delivery_ratio,Deadline delivery ratio,ratio,True,5,0.74,0.0008748177652797396,0.7389139444145468,0.7410860555854532
Predictive Prior Only,deadline_delivery_ratio,Deadline delivery ratio,ratio,True,5,0.8375714285714286,0.0010832679205787803,0.8362265894262032,0.8389162677166541
Predictive Student (No Switch),deadline_delivery_ratio,Deadline delivery ratio,ratio,True,5,0.8222857142857143,0.03502149485731321,0.77880775623517,0.8657636723362586
SwitchGLOBE Exact,deadline_delivery_ratio,Deadline delivery ratio,ratio,True,5,0.8376428571428571,0.001089139334426923,0.8362907288431846,0.8389949854425297
FastSwitchGLOBE,deadline_delivery_ratio,Deadline delivery ratio,ratio,True,5,0.8150000000000001,0.019320405306941416,0.7910143941634376,0.8389856058365626
FastSwitchGLOBE + Top-2,deadline_delivery_ratio,Deadline delivery ratio,ratio,True,5,0.8150000000000001,0.019320405306941416,0.7910143941634376,0.8389856058365626
Geo-Residual Student,drop_rate,Drop rate,ratio,False,5,0.2442857142857143,0.0011007882148158907,0.24291912430943563,0.24565230426199297
Predictive Prior Only,drop_rate,Drop rate,ratio,False,5,0.14550000000000002,0.0007405871911902766,0.14458058696630374,0.1464194130336963
Predictive Student (No Switch),drop_rate,Drop rate,ratio,False,5,0.16085714285714287,0.03486178979563589,0.11757745304158836,0.2041368326726974
SwitchGLOBE Exact,drop_rate,Drop rate,ratio,False,5,0.14578571428571427,0.001195228609334396,0.1443018798706165,0.14726954870081205
FastSwitchGLOBE,drop_rate,Drop rate,ratio,False,5,0.1625,0.01529055330614832,0.14351731414027563,0.18148268585972438
FastSwitchGLOBE + Top-2,drop_rate,Drop rate,ratio,False,5,0.1625,0.01529055330614832,0.14351731414027563,0.18148268585972438
Geo-Residual Student,energy_per_delivered_packet,Energy / delivered packet,proxy units,False,5,1.8836815849587354,0.003967044307608203,1.8787566385310182,1.8886065313864526
Predictive Prior Only,energy_per_delivered_packet,Energy / delivered packet,proxy units,False,5,2.078117637544584,0.004262858673825153,2.0728254479521326,2.0834098271370354
Predictive Student (No Switch),energy_per_delivered_packet,Energy / delivered packet,proxy units,False,5,2.054736612744861,0.04999913485434849,1.9926644397374624,2.11680878575226
SwitchGLOBE Exact,energy_per_delivered_packet,Energy / delivered packet,proxy units,False,5,2.082755063438719,0.003019803288679685,2.0790060835267807,2.086504043350657
FastSwitchGLOBE,energy_per_delivered_packet,Energy / delivered packet,proxy units,False,5,2.227142582773686,0.11809079067911528,2.0805370062778548,2.373748159269517
FastSwitchGLOBE + Top-2,energy_per_delivered_packet,Energy / delivered packet,proxy units,False,5,2.227142582773686,0.11809079067911528,2.0805370062778548,2.373748159269517
