method,metric,mean,ci95_low,ci95_high
AODV,connected_pair_pdr,0.798192748558197,0.798192748558197,0.798192748558197
OLSR,connected_pair_pdr,0.7657446918161204,0.7657446918161204,0.7657446918161204
Greedy Geographic,connected_pair_pdr,0.6832462738442805,0.6832462738442805,0.6832462738442805
Evo-QGeo (Adapted),connected_pair_pdr,0.8868836010796143,0.8850405838691461,0.8887266182900825
RDQN-HERP (Adapted),connected_pair_pdr,0.7251391729348539,0.5977010222077251,0.8525773236619826
GAT-GRU-DDQN,connected_pair_pdr,0.6757883126471166,0.566031547631321,0.7855450776629122
Fast-DiSwitch,connected_pair_pdr,0.8872035734660318,0.8682354580852979,0.9061716888467658
DiSwitch,connected_pair_pdr,0.9052895423144592,0.9038665746193851,0.9067125100095333
AODV,deadline_delivery_ratio,0.7357142857142857,0.7357142857142857,0.7357142857142857
OLSR,deadline_delivery_ratio,0.7039285714285715,0.7039285714285715,0.7039285714285715
Greedy Geographic,deadline_delivery_ratio,0.6371428571428571,0.6371428571428571,0.6371428571428571
Evo-QGeo (Adapted),deadline_delivery_ratio,0.8153571428571429,0.8132077769326082,0.8175065087816776
RDQN-HERP (Adapted),deadline_delivery_ratio,0.5995714285714286,0.4526504112849635,0.7464924458578938
GAT-GRU-DDQN,deadline_delivery_ratio,0.5817142857142857,0.4841044294764267,0.6793241419521447
Fast-DiSwitch,deadline_delivery_ratio,0.8150000000000001,0.7910143941634376,0.8389856058365626
DiSwitch,deadline_delivery_ratio,0.8376428571428571,0.8362907288431846,0.8389949854425297
AODV,p95_success_delay,3.8571428571428568,3.8571428571428563,3.857142857142857
OLSR,p95_success_delay,3.1392857142857133,3.1392857142857133,3.1392857142857133
Greedy Geographic,p95_success_delay,3.567857142857143,3.567857142857143,3.567857142857143
Evo-QGeo (Adapted),p95_success_delay,4.557142857142857,4.464615425358261,4.649670288927453
RDQN-HERP (Adapted),p95_success_delay,6.162857142857143,5.673955174602499,6.651759111111787
GAT-GRU-DDQN,p95_success_delay,5.494285714285715,5.1161678026037976,5.872403625967632
Fast-DiSwitch,p95_success_delay,4.486428571428571,4.3007797659173175,4.672077376939825
DiSwitch,p95_success_delay,4.264285714285714,4.182771231285603,4.345800197285826
AODV,mean_policy_input_bytes,142.72392857142856,142.72392857142856,142.72392857142856
OLSR,mean_policy_input_bytes,137.69571428571427,137.69571428571427,137.69571428571427
Greedy Geographic,mean_policy_input_bytes,2283.796428571429,2283.796428571429,2283.796428571429
Evo-QGeo (Adapted),mean_policy_input_bytes,6451.5158571428565,6416.429242963424,6486.602471322289
RDQN-HERP (Adapted),mean_policy_input_bytes,4977.356785714286,4556.798977119455,5397.914594309117
GAT-GRU-DDQN,mean_policy_input_bytes,4451.218071428571,4054.4181854631033,4848.0179573940395
Fast-DiSwitch,mean_policy_input_bytes,6436.931142857144,6224.170065870269,6649.692219844018
DiSwitch,mean_policy_input_bytes,4821.409928571428,4691.157827571576,4951.662029571281
