connected_pair_pdr,method,scenario
0.985,DiSwitch,heldout_medium
0.967,Fast-DiSwitch,heldout_medium
0.9669999999999999,DiSwitch,ood_extreme_mobility
0.9629999999999999,Fast-DiSwitch,ood_extreme_mobility
0.966,DiSwitch,ood_fast_mobility
0.962,Fast-DiSwitch,ood_fast_mobility
0.9110000000000001,DiSwitch,ood_link_loss
0.9,Fast-DiSwitch,ood_link_loss
0.7780000000000001,DiSwitch,ood_link_loss_30
0.775,Fast-DiSwitch,ood_link_loss_30
0.9800000000000001,DiSwitch,ood_nodes_10
0.952,Fast-DiSwitch,ood_nodes_10
0.9719999999999999,DiSwitch,ood_nodes_16
0.9099999999999999,Fast-DiSwitch,ood_nodes_16
0.938,DiSwitch,ood_nodes_24
0.836,Fast-DiSwitch,ood_nodes_24
0.9800000000000001,DiSwitch,ood_sparse
0.975,Fast-DiSwitch,ood_sparse
0.5116279069767442,DiSwitch,predictive_break_225_link_loss
0.5058139534883721,Fast-DiSwitch,predictive_break_225_link_loss
1.0,DiSwitch,predictive_break_45
1.0,Fast-DiSwitch,predictive_break_45
0.6984126984126984,DiSwitch,structural_hole_225_link_loss
0.6984126984126984,Fast-DiSwitch,structural_hole_225_link_loss
1.0,DiSwitch,structural_hole_45
1.0,Fast-DiSwitch,structural_hole_45
0.9870129870129871,DiSwitch,unconditional_sparse
0.9766233766233766,Fast-DiSwitch,unconditional_sparse
